"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J1";"PinHeader_2x07_P2.54mm_Vertical_SMD";1;"Conn_02x07_Odd_Even";;;
2;"R8,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
3;"C1,C5,C13";"CP_Elec_4x5.4";3;"10u";;;
4;"C4";"CP_Elec_4x5.4";1;"4.7u";;;
5;"C7";"CP_Elec_8x10";1;"220u";;;
6;"C12,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100n";;;
7;"C11,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22n";;;
8;"C10,C6,C3,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"47n";;;
9;"J2";"Jack_Horizontal";1;"AudioJack3_Ground";;;
10;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
11;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_Push";;;
12;"MK1";"PinHeader_1x02_P2.54mm_Vertical";1;"Microphone_Ultrasound";;;
13;"LS1";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
14;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Bridged";;;
15;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
16;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_Small_ALT";;;
17;"U3";"SOIC-14_3.9x8.7mm_P1.27mm";1;"4024";;;
18;"U2,U1,U4";"SOIC-8_3.9x4.9mm_P1.27mm";3;"LM386";;;
19;"RV1";"Potentiometer_Alps_RK09K_Single_Vertical";1;"10k log";;;
20;"R3,R5,R7,R6,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"TBD";;;
21;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
